burst	rep	timestamp	lumen	tempA	relhumA	tempB	relhumB	weight
0	0	25/6/2019-21:26:26	286	26.70	50.00	26.00	48.00	-0.0
0	1	25/6/2019-21:26:27	280	26.70	50.00	26.00	48.00	-0.0
0	2	25/6/2019-21:26:28	368	26.90	50.00	25.90	47.00	-0.0
0	3	25/6/2019-21:26:30	391	26.90	50.00	25.90	47.00	0.0
0	4	25/6/2019-21:26:31	389	26.90	50.00	26.00	48.00	-0.0
0	5	25/6/2019-21:26:32	374	26.90	50.00	26.00	48.00	-0.0
1	0	25/6/2019-21:32:10	359	26.90	50.00	26.00	48.00	3.7
1	1	25/6/2019-21:32:11	357	26.90	50.00	26.00	48.00	3.7
1	2	25/6/2019-21:32:12	359	26.90	50.00	25.90	47.00	3.7
1	3	25/6/2019-21:32:13	359	26.90	50.00	25.90	47.00	3.7
1	4	25/6/2019-21:32:14	360	27.00	50.00	26.10	48.00	3.7
1	5	25/6/2019-21:32:15	359	27.00	50.00	26.10	48.00	3.7
2	0	25/6/2019-21:37:53	350	27.00	50.00	26.10	48.00	3.7
2	1	25/6/2019-21:37:54	350	27.00	50.00	26.10	48.00	3.7
2	2	25/6/2019-21:37:55	349	26.90	50.00	25.90	47.00	3.7
2	3	25/6/2019-21:37:56	349	26.90	50.00	25.90	47.00	3.7
2	4	25/6/2019-21:37:58	349	27.00	50.00	26.00	48.00	3.7
2	5	25/6/2019-21:37:59	351	27.00	50.00	26.00	48.00	3.7
3	0	25/6/2019-21:43:37	357	27.00	50.00	26.00	48.00	3.7
3	1	25/6/2019-21:43:38	357	27.00	50.00	26.00	48.00	3.7
3	2	25/6/2019-21:43:39	358	26.90	49.00	25.90	46.00	3.7
3	3	25/6/2019-21:43:40	357	26.90	49.00	25.90	46.00	3.7
3	4	25/6/2019-21:43:41	355	26.90	49.00	25.90	46.00	3.7
3	5	25/6/2019-21:43:42	356	26.90	49.00	25.90	46.00	3.7
4	0	25/6/2019-21:49:20	362	27.00	49.00	26.00	47.00	3.7
4	1	25/6/2019-21:49:21	363	27.00	49.00	26.00	47.00	3.7
4	2	25/6/2019-21:49:22	363	26.90	48.00	25.90	45.00	3.7
4	3	25/6/2019-21:49:23	363	26.90	48.00	25.90	45.00	3.7
4	4	25/6/2019-21:49:24	361	26.90	48.00	26.00	46.00	3.7
4	5	25/6/2019-21:49:26	362	26.90	48.00	26.00	46.00	3.7
5	0	25/6/2019-21:55:03	363	26.90	48.00	26.00	46.00	3.7
5	1	25/6/2019-21:55:05	364	26.90	48.00	26.00	46.00	3.7
5	2	25/6/2019-21:55:06	364	26.80	47.00	25.90	44.00	3.7
5	3	25/6/2019-21:55:07	366	26.80	47.00	25.90	44.00	3.7
5	4	25/6/2019-21:55:08	366	26.80	47.00	25.90	44.00	3.7
5	5	25/6/2019-21:55:09	364	26.80	47.00	25.90	44.00	3.7
6	0	25/6/2019-22:00:47	365	26.80	47.00	25.90	44.00	3.7
6	1	25/6/2019-22:00:48	364	26.80	47.00	25.90	44.00	3.7
6	2	25/6/2019-22:00:49	365	26.80	47.00	25.80	44.00	3.7
6	3	25/6/2019-22:00:50	366	26.80	47.00	25.80	44.00	3.7
6	4	25/6/2019-22:00:51	366	26.80	47.00	25.80	44.00	3.7
6	5	25/6/2019-22:00:52	364	26.80	47.00	25.80	44.00	3.7
7	0	25/6/2019-22:06:30	16	26.80	47.00	25.90	44.00	3.7
7	1	25/6/2019-22:06:31	20	26.80	47.00	25.90	44.00	3.7
7	2	25/6/2019-22:06:32	21	26.70	48.00	25.80	45.00	3.7
7	3	25/6/2019-22:06:34	21	26.70	48.00	25.80	45.00	3.7
7	4	25/6/2019-22:06:35	21	26.80	48.00	25.90	45.00	3.7
7	5	25/6/2019-22:06:36	22	26.80	48.00	25.90	45.00	3.7
8	0	25/6/2019-22:12:14	14	26.90	48.00	25.90	45.00	3.7
8	1	25/6/2019-22:12:15	18	26.90	48.00	25.90	45.00	3.7
8	2	25/6/2019-22:12:16	18	26.70	48.00	25.80	45.00	3.7
8	3	25/6/2019-22:12:17	19	26.70	48.00	25.80	45.00	3.7
8	4	25/6/2019-22:12:18	19	26.70	48.00	25.80	45.00	3.7
8	5	25/6/2019-22:12:19	19	26.70	48.00	25.80	45.00	3.7
9	0	25/6/2019-22:17:57	14	26.70	48.00	25.80	45.00	3.7
9	1	25/6/2019-22:17:58	18	26.70	48.00	25.80	45.00	3.7
9	2	25/6/2019-22:17:59	19	26.70	47.00	25.70	44.00	3.7
9	3	25/6/2019-22:18:00	19	26.70	47.00	25.70	44.00	3.7
9	4	25/6/2019-22:18:02	19	26.70	47.00	25.70	44.00	3.7
9	5	25/6/2019-22:18:03	20	26.70	47.00	25.70	44.00	3.7
10	0	25/6/2019-22:23:41	14	26.70	47.00	25.80	44.00	3.7
10	1	25/6/2019-22:23:42	18	26.70	47.00	25.80	44.00	3.7
10	2	25/6/2019-22:23:43	19	26.60	47.00	25.60	44.00	3.7
10	3	25/6/2019-22:23:44	19	26.60	47.00	25.60	44.00	3.7
10	4	25/6/2019-22:23:45	19	26.60	47.00	25.60	44.00	3.7
10	5	25/6/2019-22:23:46	20	26.60	47.00	25.60	44.00	3.7
11	0	25/6/2019-22:29:24	14	26.60	47.00	25.60	44.00	3.7
11	1	25/6/2019-22:29:25	18	26.60	47.00	25.60	44.00	3.7
11	2	25/6/2019-22:29:26	19	26.40	47.00	25.60	44.00	3.7
11	3	25/6/2019-22:29:27	19	26.40	47.00	25.60	44.00	3.7
11	4	25/6/2019-22:29:29	19	26.50	47.00	25.60	44.00	3.7
11	5	25/6/2019-22:29:30	19	26.50	47.00	25.60	44.00	3.7
12	0	25/6/2019-22:35:07	14	26.50	47.00	25.60	44.00	3.7
12	1	25/6/2019-22:35:09	18	26.50	47.00	25.60	44.00	3.7
12	2	25/6/2019-22:35:10	19	26.40	47.00	25.50	44.00	3.7
12	3	25/6/2019-22:35:11	19	26.40	47.00	25.50	44.00	3.7
12	4	25/6/2019-22:35:12	20	26.40	47.00	25.60	45.00	3.7
12	5	25/6/2019-22:35:13	20	26.40	47.00	25.60	45.00	3.7
13	0	25/6/2019-22:40:51	17	26.50	47.00	25.60	44.00	3.7
13	1	25/6/2019-22:40:52	21	26.50	47.00	25.60	44.00	3.7
13	2	25/6/2019-22:40:53	22	26.40	47.00	25.50	45.00	3.7
13	3	25/6/2019-22:40:54	22	26.40	47.00	25.50	45.00	3.7
13	4	25/6/2019-22:40:56	22	26.40	48.00	25.50	44.00	3.7
13	5	25/6/2019-22:40:57	23	26.40	48.00	25.50	44.00	3.7
14	0	25/6/2019-22:46:34	17	26.40	48.00	25.60	44.00	3.7
14	1	25/6/2019-22:46:35	21	26.40	48.00	25.60	44.00	3.7
14	2	25/6/2019-22:46:37	22	26.40	48.00	25.50	45.00	3.7
14	3	25/6/2019-22:46:38	22	26.40	48.00	25.50	45.00	3.7
14	4	25/6/2019-22:46:39	22	26.40	49.00	25.50	45.00	3.7
14	5	25/6/2019-22:46:40	22	26.40	49.00	25.50	45.00	3.7
15	0	25/6/2019-22:52:18	14	26.40	49.00	25.50	45.00	3.7
15	1	25/6/2019-22:52:19	18	26.40	49.00	25.50	45.00	3.7
15	2	25/6/2019-22:52:20	19	26.40	49.00	25.50	46.00	3.7
15	3	25/6/2019-22:52:21	19	26.40	49.00	25.50	46.00	3.7
15	4	25/6/2019-22:52:22	20	26.40	49.00	25.50	46.00	3.7
15	5	25/6/2019-22:52:24	20	26.40	49.00	25.50	46.00	3.7
16	0	25/6/2019-22:58:01	14	26.40	49.00	25.50	46.00	3.7
16	1	25/6/2019-22:58:02	18	26.40	49.00	25.50	46.00	3.7
16	2	25/6/2019-22:58:04	19	26.40	49.00	25.50	47.00	3.7
16	3	25/6/2019-22:58:05	19	26.40	49.00	25.50	47.00	3.7
16	4	25/6/2019-22:58:06	20	26.40	50.00	25.50	47.00	3.7
16	5	25/6/2019-22:58:07	20	26.40	50.00	25.50	47.00	3.7
17	0	25/6/2019-23:03:45	14	26.40	49.00	25.50	46.00	3.7
17	1	25/6/2019-23:03:46	18	26.40	49.00	25.50	46.00	3.7
17	2	25/6/2019-23:03:47	19	26.40	50.00	25.50	47.00	3.7
17	3	25/6/2019-23:03:48	19	26.40	50.00	25.50	47.00	3.7
17	4	25/6/2019-23:03:49	20	26.40	50.00	25.50	47.00	3.7
17	5	25/6/2019-23:03:50	20	26.40	50.00	25.50	47.00	3.7
18	0	25/6/2019-23:09:28	14	26.50	50.00	25.50	47.00	3.7
18	1	25/6/2019-23:09:29	18	26.50	50.00	25.50	47.00	3.7
18	2	25/6/2019-23:09:30	19	26.40	50.00	25.50	47.00	3.7
18	3	25/6/2019-23:09:32	19	26.40	50.00	25.50	47.00	3.7
18	4	25/6/2019-23:09:33	20	26.50	51.00	25.50	47.00	3.7
18	5	25/6/2019-23:09:34	20	26.50	51.00	25.50	47.00	3.7
19	0	25/6/2019-23:15:12	14	26.50	51.00	25.60	47.00	3.7
19	1	25/6/2019-23:15:13	18	26.50	51.00	25.60	47.00	3.7
19	2	25/6/2019-23:15:14	19	26.40	51.00	25.50	48.00	3.7
19	3	25/6/2019-23:15:15	19	26.40	51.00	25.50	48.00	3.7
19	4	25/6/2019-23:15:16	20	26.40	51.00	25.50	48.00	3.7
19	5	25/6/2019-23:15:17	20	26.40	51.00	25.50	48.00	3.7
20	0	25/6/2019-23:20:55	14	26.60	51.00	25.60	48.00	3.7
20	1	25/6/2019-23:20:56	18	26.60	51.00	25.60	48.00	3.7
20	2	25/6/2019-23:20:57	19	26.50	51.00	25.50	48.00	3.7
20	3	25/6/2019-23:20:59	19	26.50	51.00	25.50	48.00	3.7
20	4	25/6/2019-23:21:00	20	26.50	52.00	25.60	48.00	3.7
20	5	25/6/2019-23:21:01	20	26.50	52.00	25.60	48.00	3.7
21	0	25/6/2019-23:26:39	14	26.50	51.00	25.60	48.00	3.7
21	1	25/6/2019-23:26:40	18	26.50	51.00	25.60	48.00	3.7
21	2	25/6/2019-23:26:41	19	26.50	52.00	25.60	49.00	3.7
21	3	25/6/2019-23:26:42	19	26.50	52.00	25.60	49.00	3.7
21	4	25/6/2019-23:26:43	20	26.60	52.00	25.60	49.00	3.7
21	5	25/6/2019-23:26:44	20	26.60	52.00	25.60	49.00	3.7
22	0	25/6/2019-23:32:22	14	26.60	52.00	25.60	49.00	3.7
22	1	25/6/2019-23:32:23	18	26.60	52.00	25.60	49.00	3.7
22	2	25/6/2019-23:32:24	19	26.40	52.00	25.50	50.00	3.7
22	3	25/6/2019-23:32:26	19	26.40	52.00	25.50	50.00	3.7
22	4	25/6/2019-23:32:27	20	26.50	52.00	25.60	49.00	3.7
22	5	25/6/2019-23:32:28	20	26.50	52.00	25.60	49.00	3.7
23	0	25/6/2019-23:38:06	14	26.60	52.00	25.60	49.00	3.7
23	1	25/6/2019-23:38:07	18	26.60	52.00	25.60	49.00	3.7
23	2	25/6/2019-23:38:08	19	26.40	53.00	25.60	50.00	3.7
23	3	25/6/2019-23:38:09	19	26.40	53.00	25.60	50.00	3.7
23	4	25/6/2019-23:38:10	19	26.50	53.00	25.60	50.00	3.7
23	5	25/6/2019-23:38:11	20	26.50	53.00	25.60	50.00	3.7
24	0	25/6/2019-23:43:49	11	26.50	53.00	25.60	50.00	3.7
24	1	25/6/2019-23:43:50	15	26.50	53.00	25.60	50.00	3.7
24	2	25/6/2019-23:43:51	16	26.50	53.00	25.50	51.00	3.7
24	3	25/6/2019-23:43:53	16	26.50	53.00	25.50	51.00	3.7
24	4	25/6/2019-23:43:54	17	26.60	53.00	25.60	50.00	3.7
24	5	25/6/2019-23:43:55	17	26.60	53.00	25.60	50.00	3.7
25	0	25/6/2019-23:49:33	11	26.60	53.00	25.60	50.00	3.7
25	1	25/6/2019-23:49:34	15	26.60	53.00	25.60	50.00	3.7
25	2	25/6/2019-23:49:35	16	26.50	53.00	25.50	51.00	3.7
25	3	25/6/2019-23:49:36	16	26.50	53.00	25.50	51.00	3.7
25	4	25/6/2019-23:49:37	17	26.50	54.00	25.50	51.00	3.7
25	5	25/6/2019-23:49:39	17	26.50	54.00	25.50	51.00	3.7
26	0	25/6/2019-23:55:16	11	26.60	54.00	25.60	51.00	3.7
26	1	25/6/2019-23:55:17	15	26.60	54.00	25.60	51.00	3.7
26	2	25/6/2019-23:55:19	16	26.50	54.00	25.50	51.00	3.7
26	3	25/6/2019-23:55:20	16	26.50	54.00	25.50	51.00	3.7
26	4	25/6/2019-23:55:21	17	26.50	54.00	25.50	51.00	3.7
26	5	25/6/2019-23:55:22	17	26.50	54.00	25.50	51.00	3.7
27	0	26/6/2019-00:01:00	11	26.50	54.00	25.60	51.00	3.7
27	1	26/6/2019-00:01:01	15	26.50	54.00	25.60	51.00	3.7
27	2	26/6/2019-00:01:02	16	26.50	54.00	25.50	51.00	82.6
27	3	26/6/2019-00:01:03	17	26.50	54.00	25.50	51.00	3.7
